ID,URL,NomFichier
65,https://www.vinatis.com/94247-fine_default/accord-parfait-pic-saint-loup-2023.png,00065.png
66,https://www.vinatis.com/93827-fine_default/ultime-recolte-2023-jeff-carrel.png,00066.png
67,https://www.vinatis.com/91546-fine_default/phi-ling-2022-horgelus.png,00067.png
68,https://www.vinatis.com/89356-fine_default/reserve-rouge-2022-chateau-lamothe-vincent.png,00068.png
69,https://www.vinatis.com/42213-fine_default/domaine-casanova-gris-rose.png,00069.png
70,https://www.vinatis.com/94327-fine_default/confidence-rouge-2023-domaine-fond-croze.png,00070.png
71,https://www.vinatis.com/85997-fine_default/chablis-vieilles-vignes-2023-closerie-des-alisiers.png,00071.png
72,https://www.vinatis.com/87583-fine_default/montagne-noire-2022-auzias.png,00072.png
73,https://www.vinatis.com/89078-fine_default/montepulciano-d-abruzzo-riserva-terre-della-brunda-2020-botter.png,00073.png
74,https://www.vinatis.com/93836-fine_default/villa-des-anges-gsm-2022-grenache-syrah-mourvedre-jeff-carrel.png,00074.png
75,https://www.vinatis.com/88908-fine_default/le-cirque-2022-terres-plurielles.png,00075.png
76,https://www.vinatis.com/32061-fine_default/arcane-xv-le-diable-2015-xavier-vignon.png,00076.png
77,https://www.vinatis.com/76067-fine_default/minervois-vieilles-vignes-2021-chateau-de-beaufort.png,00077.png
78,https://www.vinatis.com/97942-fine_default/rose-bonbon-2024-domaine-des-diables.png,00078.png
79,https://www.vinatis.com/70398-fine_default/moscato-spumante-dolce-petalo-il-vino-dell-amore-bottega.png,00079.png
80,https://www.vinatis.com/97298-fine_default/greg-juju-2024-domaines-robert-vic-preignes-le-vieux.png,00080.png
81,https://www.vinatis.com/98254-fine_default/viognier-la-combe-pilate-2023-m-chapoutier.png,00081.png
82,https://www.vinatis.com/93830-fine_default/vieille-mule-rouge-2023-jeff-carrel.png,00082.png
83,https://www.vinatis.com/94216-fine_default/cotes-du-rhone-richette-2020-patrick-lesec.png,00083.png
84,https://www.vinatis.com/90429-fine_default/l-appel-des-sereines-2022-francois-villard.png,00084.png
85,https://www.vinatis.com/96186-fine_default/c-est-trop-2024-les-maitres-vignerons-de-la-presqu-ile-de-saint-tropez.png,00085.png
86,https://www.vinatis.com/96553-fine_default/syrah-2023-grande-reserve-maison-castel.png,00086.png
87,https://www.vinatis.com/99862-fine_default/m-de-minuty-rose-2024-edition-limitee-elliott-routledge.png,00087.png
88,https://www.vinatis.com/84289-fine_default/savigny-les-beaune-2017-maison-patriarche.png,00088.png
89,https://www.vinatis.com/99265-fine_default/plaisir-rose-2024-maitres-vignerons-de-vidauban.png,00089.png
90,https://www.vinatis.com/91030-fine_default/orelie-rouge-2023-vignerons-ardechois.png,00090.png
91,https://www.vinatis.com/94806-fine_default/bourgogne-chardonnay-2023-carillon-des-moines.png,00091.png
92,https://www.vinatis.com/96088-fine_default/le-sens-du-vent-rose-2024-flores.png,00092.png
93,https://www.vinatis.com/96743-fine_default/terra-nostra-rose-2024.png,00093.png
94,https://www.vinatis.com/95499-fine_default/rouge-2023-domaine-de-bila-haut.png,00094.png
95,https://www.vinatis.com/91446-fine_default/maranges-1er-cru-clos-des-loyeres-2023-chateau-de-la-charriere-yves-girardin.png,00095.png
96,https://www.vinatis.com/96811-fine_default/n7-rouge-merlot-tannat-2024-uby.png,00096.png
97,https://www.vinatis.com/92682-fine_default/le-pigeonnier-2023-cave-de-pazac.png,00097.png
98,https://www.vinatis.com/86302-fine_default/macon-la-roche-vineuse-2022-chateau-de-la-greffiere.png,00098.png
99,https://www.vinatis.com/37643-fine_default/arcane-xix-le-soleil-2015-xavier-vignon.png,00099.png
100,https://www.vinatis.com/93118-fine_default/mas-de-jon-pic-saint-loup-2023.png,00100.png
101,https://www.vinatis.com/41387-fine_default/arcane-vi-les-amoureux-2016-xavier-vignon.png,00101.png
102,https://www.vinatis.com/98256-fine_default/viognier-domaine-des-granges-de-mirabel-2022-m-chapoutier.png,00102.png
103,https://www.vinatis.com/90200-fine_default/muscadet-sevre-et-maine-2022-clos-des-orfeuilles.png,00103.png
104,https://www.vinatis.com/93977-fine_default/mourvedre-2022-les-jamelles.png,00104.png
105,https://www.vinatis.com/91173-fine_default/cuvee-clemence-2023-cheval-quancard.png,00105.png
106,https://www.vinatis.com/97296-fine_default/watusi-2024-puech-haut.png,00106.png
107,https://www.vinatis.com/98316-fine_default/cheverny-blanc-2024-domaine-maison.png,00107.png
108,https://www.vinatis.com/96798-fine_default/n26-uby-bio-rose-2024-uby.png,00108.png
109,https://www.vinatis.com/92711-fine_default/pic-saint-loup-coste-d-aleyrac-2023-chateau-de-lancyre.png,00109.png
110,https://www.vinatis.com/97165-fine_default/petit-pont-blanc-reserve-2024-domaines-robert-vic-preignes-le-vieux.png,00110.png
111,https://www.vinatis.com/96176-fine_default/la-remontada-2022-jeff-carrel.png,00111.png
112,https://www.vinatis.com/98118-fine_default/miral-grillo-sicilia-2024-cantine-fina.png,00112.png
113,https://www.vinatis.com/82195-fine_default/le-perreon-2022-domaine-de-la-madone.png,00113.png
114,https://www.vinatis.com/97376-fine_default/centenaire-2024-domaine-lafage.png,00114.png
115,https://www.vinatis.com/96938-fine_default/la-vieille-ferme-rose-2024.png,00115.png
116,https://www.vinatis.com/93870-fine_default/touraine-sauvignon-blanc-2023-chateau-de-vallagon.png,00116.png
117,https://www.vinatis.com/86979-fine_default/cheval-noir-2022.png,00117.png
118,https://www.vinatis.com/75991-fine_default/balades-2022-romain-duvernay.png,00118.png
119,https://www.vinatis.com/99280-fine_default/grenache-syrah-2024-marius-by-m-chapoutier.png,00119.png
120,https://www.vinatis.com/87082-fine_default/pinot-noir-2023-sophie-schaal.png,00120.png
121,https://www.vinatis.com/95210-fine_default/made-in-provence-collection-rose-2024-domaine-des-diables.png,00121.png
122,https://www.vinatis.com/87906-fine_default/sancerre-blanc-2023-pascal-balland.png,00122.png
123,https://www.vinatis.com/78806-fine_default/constance-2019-thunevin-calvet.png,00123.png
124,https://www.vinatis.com/90052-fine_default/chateau-chauvelet-2018.png,00124.png
125,https://www.vinatis.com/99788-fine_default/cotes-du-rhone-2024-yannick-alleno-m-chapoutier.png,00125.png
126,https://www.vinatis.com/92287-fine_default/chateau-vieux-planty-2020.png,00126.png
127,https://www.vinatis.com/98230-fine_default/symphonie-rose-2024-chateau-sainte-marguerite.png,00127.png
128,https://www.vinatis.com/64300-fine_default/agneau-selection-bordeaux-rouge-2020-baron-philippe-de-rothschild.png,00128.png
129,https://www.vinatis.com/98410-fine_default/julienas-les-clochers-2023-vignerons-de-bel-air.png,00129.png
130,https://www.vinatis.com/93834-fine_default/villa-des-anges-chardonnay-2023-jeff-carrel.png,00130.png
131,https://www.vinatis.com/99557-fine_default/n4-gros-et-petit-manseng-doux-2024-uby.png,00131.png
132,https://www.vinatis.com/98494-fine_default/vouvray-sec-confidences-2024-famille-bougrier.png,00132.png
133,https://www.vinatis.com/77161-fine_default/cremant-de-bourgogne-brut-blanc-cuvee-signature-veuve-ambal.png,00133.png
134,https://www.vinatis.com/80666-fine_default/cote-de-brouilly-les-clochers-2022-vignerons-de-bel-air.png,00134.png
135,https://www.vinatis.com/91031-fine_default/gatefer-2021-domaine-de-la-clapiere.png,00135.png
136,https://www.vinatis.com/96467-fine_default/alpilles-rose-2024-domaine-de-valdition.png,00136.png
137,https://www.vinatis.com/97597-fine_default/ambiance-rose-10-2024-maison-chape.png,00137.png
138,https://www.vinatis.com/98232-fine_default/accord-parfait-la-clape-2023.png,00138.png
139,https://www.vinatis.com/95932-fine_default/bourgogne-hautes-cotes-de-beaune-la-couleuvraire-2022-parcelles-cie-nuiton-beaunoy.png,00139.png
140,https://www.vinatis.com/82146-fine_default/bouteille-a-la-mer-2020-xavier-vignon.png,00140.png
141,https://www.vinatis.com/97030-fine_default/pierres-de-moulin-2024-domaine-de-la-fouquette.png,00141.png
142,https://www.vinatis.com/97684-fine_default/lou-rose-by-peyrassol-2024.png,00142.png
143,https://www.vinatis.com/94605-fine_default/moscato-d-asti-2024-le-filere-vallebelbo.png,00143.png
144,https://www.vinatis.com/96550-fine_default/rose-d-ete-2024-auzias.png,00144.png
145,https://www.vinatis.com/96787-fine_default/seicaselle-negroamaro-2023-tagaro.png,00145.png
146,https://www.vinatis.com/97295-fine_default/jalade-rose-2024-domaine-de-la-clapiere.png,00146.png
147,https://www.vinatis.com/90196-fine_default/saumur-champigny-senonien-2023-la-seigneurie.png,00147.png
148,https://www.vinatis.com/98226-fine_default/sunrose-mediterranee-2024.png,00148.png
149,https://www.vinatis.com/54818-fine_default/cremant-de-bourgogne-rose-perle-d-aurore-louis-bouillot.png,00149.png
150,https://www.vinatis.com/95953-fine_default/diables-co-blanc-2024-mip-diffusion.png,00150.png
151,https://www.vinatis.com/97450-fine_default/whispering-angel-2024-caves-d-esclans.png,00151.png
152,https://www.vinatis.com/98077-fine_default/charmes-rose-2024-chateau-les-mesclances.png,00152.png
153,https://www.vinatis.com/78694-fine_default/chateau-d-arcins-2019-cru-bourgeois.png,00153.png
154,https://www.vinatis.com/81259-fine_default/cotes-du-rhone-vieilles-vignes-bio-2020-xavier-vignon.png,00154.png
155,https://www.vinatis.com/88441-fine_default/bourgueil-n1-2023-domaine-alexis-boucard.png,00155.png
156,https://www.vinatis.com/98445-fine_default/rose-argali-2024-puech-haut.png,00156.png
157,https://www.vinatis.com/91007-fine_default/pouilly-fume-2023-domaine-des-fines-caillottes-jean-pabiot-fils.png,00157.png
158,https://www.vinatis.com/92844-fine_default/morgon-les-clochers-2023-vignerons-de-bel-air.png,00158.png
159,https://www.vinatis.com/99638-fine_default/l-escampe-rose-artesans.png,00159.png
160,https://www.vinatis.com/87080-fine_default/riesling-2023-sophie-schaal.png,00160.png
161,https://www.vinatis.com/89948-fine_default/haut-marin-n7-venus-2023.png,00161.png
162,https://www.vinatis.com/92286-fine_default/chateau-tertre-du-boilon-2020.png,00162.png
163,https://www.vinatis.com/94012-fine_default/cotes-du-rhone-2023-domaine-de-la-janasse.png,00163.png
164,https://www.vinatis.com/95503-fine_default/anonyme-2020-xavier-vignon.png,00164.png
165,https://www.vinatis.com/97425-fine_default/le-sens-du-vent-blanc-2024-flores.png,00165.png
166,https://www.vinatis.com/99038-fine_default/cuvee-rouge-2022-chateau-salitis.png,00166.png
167,https://www.vinatis.com/91454-fine_default/prosecco-doc-extra-dry-i-fossili-2023-cantina-colli-euganei.png,00167.png
168,https://www.vinatis.com/86460-fine_default/pouilly-fume-2023-chateau-favray.png,00168.png
169,https://www.vinatis.com/101205-fine_default/bourgogne-chardonnay-cote-d-or-2017-louis-latour.png,00169.png
170,https://www.vinatis.com/97291-fine_default/le-bijou-2024-bijou-wine.png,00170.png
